i,z,class
19.16573,18.79371,GALAXY
21.16812,21.61427,GALAXY
19.34857,18.94827,GALAXY
20.50454,19.2501,GALAXY
15.97711,15.54461,GALAXY
20.25615,19.54544,QSO
20.60826,20.42573,QSO
19.48794,18.84999,GALAXY
19.4649,18.95852,GALAXY
18.81823,18.65422,STAR
19.78071,19.05765,GALAXY
19.80745,19.45579,GALAXY
19.22034,18.89359,STAR
17.01631,16.62772,GALAXY
21.86282,21.8512,GALAXY
19.49171,18.9747,GALAXY
20.7936,20.48442,STAR
20.05918,19.89044,QSO
19.76057,19.55514,STAR
17.11936,16.73351,GALAXY
18.31696,17.98124,GALAXY
19.87177,19.16934,STAR
19.08481,18.83176,GALAXY
21.36257,21.15861,QSO
16.75376,16.72259,GALAXY
23.17828,17.96264,GALAXY
18.83178,18.27728,GALAXY
20.26256,19.98775,GALAXY
17.60397,17.2903,GALAXY
16.82294,16.44342,GALAXY
17.84004,17.44505,GALAXY
19.90149,19.37544,GALAXY
19.81448,19.28439,GALAXY
20.843,20.7658,QSO
19.13263,18.9481,GALAXY
19.70143,19.24533,GALAXY
20.12869,19.68312,GALAXY
17.24668,16.87722,GALAXY
21.43702,22.82647,STAR
18.74999,18.26678,GALAXY
19.04226,18.9441,STAR
20.83807,20.28395,GALAXY
18.13757,17.74069,GALAXY
19.698,19.07937,GALAXY
18.81373,18.06582,GALAXY
19.04074,18.90521,STAR
21.55672,21.01273,GALAXY
21.60179,21.12727,QSO
21.25545,21.07686,QSO
18.90489,18.49419,GALAXY
18.16925,17.73204,GALAXY
21.60229,21.24192,QSO
21.40591,20.70943,GALAXY
19.13553,18.60195,GALAXY
17.99611,17.59206,GALAXY
20.55012,19.68962,GALAXY
19.45051,18.86085,GALAXY
16.82644,16.42062,GALAXY
19.10345,18.64843,GALAXY
18.88857,18.48836,GALAXY
17.86074,17.50969,GALAXY
19.86567,19.89753,GALAXY
17.14015,16.97431,GALAXY
18.41182,18.33893,GALAXY
19.56918,19.08057,GALAXY
16.83926,16.41518,GALAXY
17.12954,16.9521,GALAXY
17.59347,17.20853,GALAXY
19.12181,18.63752,GALAXY
19.93169,19.81143,GALAXY
17.3835,16.94589,GALAXY
21.72382,21.66425,QSO
20.54716,20.15146,QSO
16.25624,16.03383,GALAXY
20.12587,20.13796,QSO
20.60149,20.42078,STAR
22.12098,22.23246,GALAXY
18.539,17.99627,GALAXY
18.18796,17.0124,STAR
18.96994,18.36362,GALAXY
22.19179,21.8687,QSO
19.82272,19.33796,GALAXY
20.57167,19.76941,STAR
22.16238,22.55171,QSO
19.22886,18.55112,GALAXY
19.2896,19.08112,QSO
19.40883,19.03537,GALAXY
20.19625,19.82982,QSO
18.18008,17.76504,GALAXY
19.69811,19.4611,STAR
18.54982,18.57035,GALAXY
19.67837,17.97654,STAR
19.7631,19.23547,GALAXY
18.34712,18.0602,GALAXY
19.82567,19.41473,GALAXY
20.69582,19.83773,GALAXY
16.54847,16.14959,STAR
21.71758,21.24758,STAR
20.25421,19.90627,QSO
19.55738,19.04092,GALAXY
19.78579,19.13067,GALAXY
19.84993,19.52213,GALAXY
19.61335,18.91918,GALAXY
17.60705,17.25109,GALAXY
20.87707,19.95657,GALAXY
20.04436,19.34116,GALAXY
17.08743,16.75041,GALAXY
19.50299,19.35294,QSO
20.25976,19.89784,QSO
15.61901,15.42194,GALAXY
19.79067,19.14412,GALAXY
18.18621,17.75864,GALAXY
18.92081,19.5129,GALAXY
21.21746,21.42393,GALAXY
21.54711,21.80262,GALAXY
19.59367,19.34152,QSO
21.72727,22.06267,QSO
18.87251,18.44153,GALAXY
20.42182,20.13542,QSO
19.9893,19.95151,STAR
19.5564,18.878,GALAXY
21.85023,21.03508,QSO
19.85176,19.57173,GALAXY
19.38448,19.24491,STAR
19.78445,19.16647,GALAXY
20.6003,19.56432,GALAXY
20.39903,19.68608,GALAXY
17.73256,17.78253,QSO
16.82521,16.66497,STAR
18.51469,18.01897,GALAXY
18.17053,17.76778,GALAXY
18.13985,17.89553,GALAXY
20.50386,19.82821,GALAXY
16.39657,16.09448,GALAXY
18.21018,17.68076,QSO
17.77722,17.37204,GALAXY
18.72035,18.13984,GALAXY
18.98023,18.57421,GALAXY
19.74818,19.26084,GALAXY
18.76491,18.23895,GALAXY
22.17126,21.21337,GALAXY
17.68828,17.34309,GALAXY
17.10856,16.93358,GALAXY
21.87333,21.08294,QSO
16.86405,16.20561,STAR
19.68053,19.12656,GALAXY
16.94063,16.70611,GALAXY
18.92485,18.5644,GALAXY
17.65845,17.66204,GALAXY
18.3646,17.31518,STAR
19.7197,19.31304,GALAXY
17.01419,16.62887,GALAXY
19.90575,19.35456,GALAXY
15.68786,15.5457,STAR
18.78668,18.41773,GALAXY
19.72521,18.91054,GALAXY
20.00517,19.82034,QSO
19.93067,19.51852,STAR
19.46317,18.94339,GALAXY
20.01969,19.5348,GALAXY
19.87887,19.46968,GALAXY
20.20049,20.35182,QSO
21.35073,20.83829,STAR
20.6733,19.82829,GALAXY
16.2748,15.88608,QSO
20.13826,19.31719,GALAXY
16.9563,16.61813,GALAXY
15.65449,15.20023,GALAXY
19.93859,19.25019,GALAXY
19.55458,18.62085,STAR
19.63248,18.86167,GALAXY
18.36097,17.95331,GALAXY
21.92594,22.55944,QSO
17.41123,17.41349,STAR
19.74236,19.43085,QSO
19.85855,19.66567,QSO
19.80544,19.55602,GALAXY
16.99342,16.61498,GALAXY
19.78403,19.89672,GALAXY
19.73092,19.27667,GALAXY
19.36939,18.81012,GALAXY
16.83153,16.47283,GALAXY
19.5481,18.78767,GALAXY
17.39431,17.07972,GALAXY
19.48816,18.9276,STAR
19.95091,19.54768,GALAXY
18.40315,17.95367,GALAXY
18.65479,17.66638,STAR
16.80119,16.35259,GALAXY
19.82874,19.44676,GALAXY
22.09652,22.75254,GALAXY
18.94587,18.91817,STAR
18.87761,18.87157,STAR
21.63456,21.83693,GALAXY
19.16595,18.59111,GALAXY
19.46133,18.83153,GALAXY
18.21338,17.80852,GALAXY
19.67478,19.26723,GALAXY
15.17542,14.84507,GALAXY
16.91928,16.64811,GALAXY
16.68729,16.34318,GALAXY
19.69964,19.64133,STAR
14.38807,14.31969,STAR
15.52189,15.30048,GALAXY
17.34803,16.99254,GALAXY
16.00279,15.66193,GALAXY
19.90496,19.80293,QSO
21.77715,21.13445,QSO
19.85185,19.40779,GALAXY
21.39408,20.87335,QSO
18.89577,18.4569,GALAXY
19.88415,19.21673,GALAXY
18.42369,18.31868,GALAXY
19.78396,19.39429,GALAXY
16.33783,16.16579,GALAXY
15.74957,15.4193,GALAXY
17.25764,16.90723,GALAXY
17.64138,17.58769,STAR
20.6274,19.96332,GALAXY
19.72001,19.1272,GALAXY
19.53461,19.04271,GALAXY
18.65291,18.18871,GALAXY
22.02047,22.12553,QSO
20.48442,19.83298,GALAXY
19.5388,19.68916,QSO
20.85721,20.36657,QSO
19.84794,19.55155,GALAXY
18.6787,18.72135,STAR
19.72773,19.7445,QSO
16.56785,16.35909,STAR
21.43681,21.35231,GALAXY
21.97982,21.52896,GALAXY
22.02259,21.35769,GALAXY
16.11632,15.97406,STAR
19.53686,19.08878,GALAXY
